,bc_small_dataset_0,bc_small_dataset_1,bc_small_dataset_2,bc_small_dataset_3,bc_small_dataset_4,bc_small_dataset_5,bc_small_dataset_6,bc_small_dataset_7,bc_small_dataset_8,bc_small_dataset_9,bc_small_dataset_10,bc_small_dataset_11,bc_small_dataset_12,bc_small_dataset_13,bc_medium_dataset_0,bc_medium_dataset_1,bc_medium_dataset_2,bc_medium_dataset_3,bc_medium_dataset_4,bc_medium_dataset_5,bc_medium_dataset_6,bc_medium_dataset_7,bc_large_dataset_0,avg_rank
XGBoost,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,10.0,2.0,6.0,3.0,10.0,2.0,1.0,1.0,2.0,1.0,7.0,5.0,9.0,3.3043478260869565
CatBoost,3.0,1.0,6.0,10.0,4.0,5.0,3.0,7.0,5.0,11.0,1.0,7.0,10.0,2.0,8.0,1.0,8.0,1.0,3.0,7.0,10.0,2.0,11.0,5.478260869565218
LightGBM,1.0,11.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,10.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.652173913043478
Trompt,4.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,6.0,,4.0,2.0,6.0,5.0,10.0,1.0,6.0,8.0,3.909090909090909
ResNet,7.0,1.0,7.0,6.0,9.0,6.0,9.0,11.0,6.0,6.0,2.0,8.0,1.0,9.0,2.0,5.0,8.0,5.0,8.0,6.0,4.0,3.0,4.0,5.782608695652174
MLP,10.0,1.0,9.0,6.0,11.0,10.0,8.0,10.0,10.0,5.0,8.0,10.0,1.0,10.0,5.0,8.0,6.0,10.0,10.0,5.0,6.0,6.0,7.0,7.478260869565218
FTTransformerBucket,9.0,11.0,8.0,4.0,7.0,6.0,4.0,8.0,8.0,9.0,9.0,4.0,6.0,7.0,2.0,7.0,8.0,1.0,12.0,12.0,9.0,10.0,6.0,7.260869565217392
ExcelFormer,5.0,1.0,5.0,4.0,3.0,2.0,7.0,1.0,3.0,4.0,2.0,4.0,6.0,4.0,,5.0,5.0,6.0,5.0,3.0,3.0,6.0,1.0,3.8636363636363638
FTTransformer,5.0,1.0,3.0,9.0,8.0,8.0,9.0,6.0,8.0,10.0,6.0,6.0,1.0,8.0,7.0,8.0,2.0,8.0,9.0,8.0,4.0,9.0,3.0,6.3478260869565215
TabNet,11.0,1.0,10.0,8.0,10.0,11.0,9.0,8.0,7.0,12.0,6.0,12.0,1.0,10.0,9.0,10.0,6.0,11.0,7.0,4.0,11.0,4.0,2.0,7.826086956521739
TabTransformer,12.0,1.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,7.0,12.0,11.0,11.0,12.0,5.0,11.0,11.0,9.0,11.0,9.0,8.0,11.0,10.0,10.130434782608695
TabM-piecewiselinear,8.0,10.0,12.0,12.0,6.0,9.0,6.0,5.0,11.0,8.0,5.0,9.0,12.0,5.0,4.0,12.0,12.0,12.0,4.0,11.0,12.0,12.0,12.0,9.08695652173913
