,bc_small_dataset_0,bc_small_dataset_1,bc_small_dataset_2,bc_small_dataset_3,bc_small_dataset_4,bc_small_dataset_5,bc_small_dataset_6,bc_small_dataset_7,bc_small_dataset_8,bc_small_dataset_9,bc_small_dataset_10,bc_small_dataset_11,bc_small_dataset_12,bc_small_dataset_13,bc_medium_dataset_0,bc_medium_dataset_1,bc_medium_dataset_2,bc_medium_dataset_3,bc_medium_dataset_4,bc_medium_dataset_5,bc_medium_dataset_6,bc_medium_dataset_7,bc_medium_dataset_8,bc_large_dataset_0,multi_medium_dataset_0,multi_medium_dataset_1,multi_medium_dataset_2,reg_small_dataset_0,reg_small_dataset_1,reg_small_dataset_2,reg_small_dataset_3,reg_small_dataset_4,reg_small_dataset_5,reg_small_dataset_6,reg_small_dataset_7,reg_small_dataset_8,reg_small_dataset_9,reg_small_dataset_10,reg_small_dataset_11,reg_small_dataset_12,reg_medium_dataset_0,reg_medium_dataset_1,reg_medium_dataset_2,reg_medium_dataset_3,reg_medium_dataset_4,reg_medium_dataset_5,reg_large_dataset_0,reg_large_dataset_1,reg_large_dataset_2,reg_large_dataset_3,reg_large_dataset_4,reg_large_dataset_5,avg_rank
XGBoost,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,10.0,2.0,6.0,3.0,10.0,2.0,1.0,1.0,2.0,1.0,7.0,6.0,3.0,10.0,10.0,,,1.0,4.0,10.0,12.0,3.0,2.0,1.0,10.0,7.0,9.0,10.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,,,,,,3.977777777777778
CatBoost,3.0,1.0,6.0,10.0,4.0,5.0,3.0,6.0,5.0,10.0,1.0,7.0,11.0,2.0,8.0,1.0,8.0,1.0,3.0,8.0,11.0,2.0,3.0,12.0,3.0,,,5.0,6.0,5.0,10.0,9.0,9.0,11.0,2.0,2.0,8.0,2.0,5.0,5.0,4.0,8.0,4.0,9.0,6.0,2.0,9.0,,,,,,5.666666666666667
LightGBM,1.0,11.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,10.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,11.0,,,2.0,5.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,,,,,,2.6666666666666665
Trompt,4.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,5.0,,4.0,2.0,6.0,4.0,11.0,1.0,7.0,10.0,9.0,4.0,,,3.0,1.0,2.0,1.0,1.0,4.0,5.0,4.0,,1.0,3.0,3.0,3.0,,1.0,4.0,1.0,3.0,5.0,7.0,,,,7.0,6.0,3.772727272727273
ResNet,8.0,1.0,7.0,6.0,8.0,6.0,8.0,10.0,6.0,6.0,2.0,8.0,1.0,9.0,2.0,5.0,8.0,5.0,8.0,7.0,4.0,3.0,8.0,5.0,6.0,5.0,6.0,8.0,2.0,3.0,3.0,5.0,6.0,4.0,5.0,6.0,7.0,6.0,4.0,9.0,7.0,6.0,7.0,10.0,9.0,8.0,4.0,3.0,2.0,1.0,1.0,1.0,5.480769230769231
MLP,10.0,1.0,10.0,6.0,10.0,9.0,7.0,9.0,11.0,5.0,8.0,9.0,1.0,10.0,4.0,9.0,6.0,10.0,10.0,6.0,6.0,7.0,7.0,8.0,2.0,2.0,4.0,9.0,9.0,4.0,4.0,10.0,7.0,6.0,12.0,3.0,6.0,4.0,6.0,8.0,8.0,6.0,8.0,1.0,10.0,9.0,10.0,7.0,5.0,7.0,6.0,8.0,6.923076923076923
FTTransformerBucket,9.0,11.0,8.0,4.0,6.0,6.0,4.0,7.0,9.0,8.0,9.0,4.0,6.0,6.0,2.0,8.0,8.0,1.0,12.0,12.0,10.0,11.0,12.0,7.0,4.0,4.0,1.0,10.0,7.0,11.0,8.0,8.0,8.0,7.0,7.0,,10.0,8.0,7.0,9.0,10.0,9.0,9.0,10.0,5.0,11.0,7.0,5.0,7.0,5.0,4.0,7.0,7.411764705882353
ExcelFormer,5.0,1.0,5.0,4.0,3.0,2.0,6.0,1.0,3.0,4.0,2.0,4.0,6.0,4.0,,5.0,5.0,6.0,4.0,4.0,3.0,7.0,1.0,1.0,6.0,3.0,8.0,4.0,8.0,5.0,2.0,4.0,3.0,3.0,3.0,,2.0,5.0,10.0,4.0,3.0,4.0,3.0,8.0,2.0,5.0,4.0,6.0,1.0,,,3.0,4.0625
FTTransformer,5.0,1.0,3.0,9.0,7.0,8.0,8.0,5.0,9.0,9.0,5.0,6.0,1.0,8.0,7.0,9.0,2.0,8.0,9.0,9.0,4.0,10.0,9.0,3.0,6.0,6.0,5.0,11.0,10.0,8.0,7.0,5.0,10.0,9.0,8.0,,11.0,12.0,12.0,7.0,5.0,11.0,11.0,6.0,11.0,10.0,4.0,2.0,4.0,2.0,,5.0,7.04
TabNet,11.0,1.0,11.0,8.0,9.0,11.0,8.0,7.0,8.0,12.0,5.0,12.0,1.0,10.0,9.0,11.0,6.0,11.0,7.0,5.0,12.0,5.0,5.0,2.0,9.0,7.0,6.0,7.0,11.0,9.0,6.0,10.0,11.0,8.0,6.0,8.0,5.0,7.0,7.0,11.0,9.0,10.0,10.0,1.0,6.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,7.115384615384615
TabTransformer,12.0,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,12.0,11.0,12.0,12.0,4.0,12.0,12.0,9.0,11.0,10.0,9.0,12.0,6.0,11.0,1.0,1.0,3.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,9.0,3.0,12.0,9.0,9.0,12.0,,12.0,12.0,12.0,12.0,12.0,12.0,8.0,6.0,4.0,2.0,2.0,9.470588235294118
TabPerceiver,7.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,7.0,11.0,7.0,10.0,10.0,7.0,6.0,7.0,11.0,12.0,6.0,3.0,8.0,4.0,11.0,4.0,12.0,8.0,2.0,6.0,3.0,7.0,5.0,7.0,5.0,10.0,11.0,5.0,4.0,11.0,11.0,6.0,6.0,3.0,6.0,5.0,8.0,7.0,11.0,4.0,8.0,6.0,5.0,9.0,7.596153846153846
